query_id,year,citations,title,venue,doi
BASE_bearing,2018,1491,A deep convolutional neural network with new training methods for bearing fault diagnosis under noisy environment and different working load,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2017.06.022
BASE_bearing,2017,898,Multisensor feature fusion for bearing fault diagnosis using sparse autoencoder and deep belief network,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2017.2669947
BASE_bearing,2019,870,A survey on Deep Learning based bearing fault diagnosis,Neurocomputing,10.1016/j.neucom.2018.06.078
BASE_bearing,2016,818,Hierarchical adaptive deep convolution neural network and its application to bearing fault diagnosis,Measurement Journal of the International Measurement Confederation,10.1016/j.measurement.2016.07.054
BASE_bearing,2015,812,Application of empirical mode decomposition and artificial neural network for automatic bearing fault diagnosis based on vibration signals,Applied Acoustics,10.1016/j.apacoust.2014.08.016
BASE_mahalanobis,2006,249,A fault diagnosis approach for roller bearings based on EMD method and AR model,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2004.11.002
BASE_mahalanobis,2021,234,Infrared Thermography-Based Fault Diagnosis of Induction Motor Bearings Using Machine Learning,IEEE Sensors Journal,10.1109/JSEN.2020.3015868
BASE_mahalanobis,2020,181,Support vector machines based non-contact fault diagnosis system for bearings,Journal of Intelligent Manufacturing,10.1007/s10845-019-01511-x
BASE_mahalanobis,2012,169,Intelligent fault diagnosis of rotating machinery using infrared thermal image,Expert Systems with Applications,10.1016/j.eswa.2011.08.004
BASE_mahalanobis,2011,162,Virtual prototype and experimental research on gear multi-fault diagnosis using wavelet-autoregressive model and principal component analysis method,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2011.02.017
BASE_shrinkage,2011,42,Sparse matrix transform for hyperspectral image processing,IEEE Journal on Selected Topics in Signal Processing,10.1109/JSTSP.2010.2103924
BASE_shrinkage,2014,8,Regularized block Toeplitz covariance matrix estimation via Kronecker product expansions,IEEE Workshop on Statistical Signal Processing Proceedings,10.1109/SSP.2014.6884562
BASE_shrinkage,2024,0,A likelihood ratio test for shrinkage covariance estimators,Proceedings of SPIE the International Society for Optical Engineering,10.1117/12.3013476
BASE_shrinkage,2026,0,Starlink Orbit Anomaly Detection with Wavelet-Kalman Filtering and Compensated Propagation,Aerospace,10.3390/aerospace13080740
BASE_shrinkage,2026,0,An unsupervised approach to anomaly detection in near-infrared spectroscopy via Covariance-Shrunk Slow Feature Analysis,Chemometrics and Intelligent Laboratory Systems,10.1016/j.chemolab.2025.105615
POWER_cms,2009,182,Condition monitoring and fault diagnosis of a wind turbine synchronous generator drive train,Iet Renewable Power Generation,10.1049/iet-rpg:20080006
POWER_cms,2015,33,An on-line condition monitoring system for induction motors via instantaneous power analysis,Journal of Mechanical Science and Technology,10.1007/s12206-015-0321-9
POWER_cms,2008,33,Silicon-level solutions to counteract passive and active attacks,Fault Diagnosis and Tolerance in Cryptography Proceedings of the 5th International Workshop Fdtc 2008,10.1109/FDTC.2008.18
POWER_cms,2017,31,Condition monitoring of induction motors via instantaneous power analysis,Journal of Intelligent Manufacturing,10.1007/s10845-015-1048-2
POWER_cms,2015,29,Determination of minimum sample size for fault diagnosis of automobile hydraulic brake system using power analysis,Engineering Science and Technology an International Journal,10.1016/j.jestch.2014.09.007
POWER_ml,2018,404,An intelligent diagnosis scheme based on generative adversarial learning deep neural networks and its application to planetary gearbox fault pattern recognition,Neurocomputing,10.1016/j.neucom.2018.05.024
POWER_ml,2020,135,Rolling Bearing Fault Diagnosis Using Time-Frequency Analysis and Deep Transfer Convolutional Neural Network,IEEE Access,10.1109/ACCESS.2020.3016888
POWER_ml,2019,115,A generative adversarial network-based intelligent fault diagnosis method for rotating machinery under small sample size conditions,IEEE Access,10.1109/ACCESS.2019.2947194
POWER_ml,2015,64,Steel plates fault diagnosis on the basis of support vector machines,Neurocomputing,10.1016/j.neucom.2014.09.036
POWER_ml,2023,40,Filter-wrapper combined feature selection and adaboost-weighted broad learning system for transformer fault diagnosis under imbalanced samples,Neurocomputing,10.1016/j.neucom.2023.126803
POWER_under,2023,1610,Accurate proteome-wide missense variant effect prediction with AlphaMissense,Science,10.1126/science.adg7492
POWER_under,2018,143,A systematic review of structural MRI biomarkers in autism spectrum disorder: A machine learning perspective,International Journal of Developmental Neuroscience,10.1016/j.ijdevneu.2018.08.010
POWER_under,2022,125,What we learn about bipolar disorder from large-scale neuroimaging: Findings and future directions from the ENIGMA Bipolar Disorder Working Group,Human Brain Mapping,10.1002/hbm.25098
POWER_under,2018,92,A Deep Look Into the Future of Quantitative Imaging in Oncology: A Statement of Working Principles and Proposal for Change,International Journal of Radiation Oncology Biology Physics,10.1016/j.ijrobp.2018.08.032
POWER_under,2021,57,A comparison of methods for interpreting random forest models of genetic association in the presence of non-additive interactions,Biodata Mining,10.1186/s13040-021-00243-0
EVAL_leakage,2022,108,Adaptive Privacy-Preserving Federated Learning for Fault Diagnosis in Internet of Ships,IEEE Internet of Things Journal,10.1109/JIOT.2021.3115817
EVAL_leakage,2023,65,A federated transfer learning method with low-quality knowledge filtering and dynamic model aggregation for rolling bearing fault diagnosis,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2023.110413
EVAL_leakage,2024,56,Event-Triggered Federated Learning for Fault Diagnosis of Offshore Wind Turbines with Decentralized Data,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2023.3270354
EVAL_leakage,2023,43,Abnormal Data Detection Based on Adaptive Sliding Window and Weighted Multiscale Local Outlier Factor for Machinery Health Monitoring,IEEE Transactions on Industrial Electronics,10.1109/TIE.2022.3231279
EVAL_leakage,2024,34,Fusing consensus knowledge: A federated learning method for fault diagnosis via privacy-preserving reference under domain shift,Information Fusion,10.1016/j.inffus.2024.102290
