title,authors,venue,date,cited_by,doi,abstract,query,rank_type,rank
Multimodal Sensor Data Fusion for Hydraulic Piston Pump Fault Diagnosis Using a Spectrographic Residual Attention Network,Ogaili A.A.F.,Results in Engineering,2026-12-01,2,10.1016/j.rineng.2026.111655,,Q1 split 策略与故障诊断,相关度/默认,1
Disentangle-and-aggregate feature learning (DAFNet) for motor bearing fault diagnosis,Tang J.,Scientific Reports,2026-12-01,0,10.1038/s41598-025-34490-6,,Q1 split 策略与故障诊断,相关度/默认,2
Rolling element bearing fault diagnosis based on modified Pufferfish optimization assisted efficient customized convolutional neural network with IMI-EMD,Pandiyan M.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-50930-3,,Q1 split 策略与故障诊断,相关度/默认,3
"Multi attribute predictions of volume of shale and porosity from seismic data over Akaso Field, Niger Delta using machine learning regression analysis",Ejaita E.,Discover Geoscience,2026-12-01,1,10.1007/s44288-026-00457-x,,Q1 split 策略与故障诊断,相关度/默认,4
Explainable machine learning for predicting preterm birth and associated factors in Sub Saharan Africa,Tewelgne M.F.,Discover Artificial Intelligence,2026-12-01,0,10.1007/s44163-026-02092-4,,Q1 split 策略与故障诊断,相关度/默认,5
Fault diagnosis in photovoltaic power plants via ARX residual augmentation,Yalcin T.,Solar Energy,2026-11-01,0,10.1016/j.solener.2026.115068,,Q1 split 策略与故障诊断,相关度/默认,6
"Compressive strength perpendicular to the grain of cross-laminated timber: Experimental, theoretical, and machine learning analyses",Li H.,Engineering Applications of Artificial Intelligence,2026-10-15,0,10.1016/j.engappai.2026.116104,,Q1 split 策略与故障诊断,相关度/默认,7
Process-mineralogy-contextualized VNIR–SWIR chemometric modelling for grade-interval recognition of powdered molybdenite flotation products,Meng L.,Chemometrics and Intelligent Laboratory Systems,2026-10-15,0,10.1016/j.chemolab.2026.105818,,Q1 split 策略与故障诊断,相关度/默认,8
Enhanced physics-informed gated recurrent unit neural networks for nonlinear friction characteristics of friction pendulum bearings,Xian Z.,Structural and Multidisciplinary Optimization,2026-09-01,0,10.1007/s00158-026-04403-w,,Q1 split 策略与故障诊断,相关度/默认,9
Multiscale recursive mode decomposition: theory and application,Li H.,Measurement Science and Technology,2026-08-01,0,10.1088/1361-6501/ae93ee,,Q1 split 策略与故障诊断,相关度/默认,10
A novel approach of tool condition monitoring in sustainable machining of Ni alloy with transfer learning models,Ross N.S.,Journal of Intelligent Manufacturing,2024-02-01,99,10.1007/s10845-023-02074-8,,Q1 split 策略与故障诊断,被引最多,1
Muscle reflex classification of low-back pain,Reeves N.,Journal of Electromyography and Kinesiology,2005-02-01,94,10.1016/j.jelekin.2004.07.001,,Q1 split 策略与故障诊断,被引最多,2
Semi-automatization of support vector machines to map lithium (Li) bearing pegmatites,Cardoso-Fernandes J.,Remote Sensing,2020-07-01,88,10.3390/rs12142319,,Q1 split 策略与故障诊断,被引最多,3
Transfer learning based fault diagnosis of automobile dry clutch system,Chakrapani G.,Engineering Applications of Artificial Intelligence,2023-01-01,66,10.1016/j.engappai.2022.105522,,Q1 split 策略与故障诊断,被引最多,4
